QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,1,0,1,0,1,1,4
100,0,1,1,1,1,0,1
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,1,0,0,0,0,2
107,0,1,0,0,0,0,2
108,1,1,1,1,0,4,1
109,0,0,0,0,0,0,0
110,0,1,1,1,1,0,1
111,0,0,1,0,0,0,2
112,0,0,1,0,0,0,2
113,1,1,0,1,0,2,3
114,1,1,1,0,1,3,2
115,1,0,0,0,0,1,1
116,0,0,0,0,0,0,0
117,0,1,1,0,0,0,2
118,0,0,0,0,0,0,0
119,0,0,1,0,0,0,2
120,0,0,0,0,0,0,0
121,0,0,1,0,0,0,2
122,1,0,0,0,0,1,1
123,0,0,0,1,0,0,2
124,0,1,0,0,0,0,2
125,0,1,1,0,0,0,2
126,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,1,0,0,0,2
130,0,1,0,0,1,0,3
131,0,1,1,1,1,0,1
132,0,0,1,0,0,0,2
133,0,0,0,0,0,0,0
134,1,1,1,1,1,5,0
135,1,1,1,1,1,5,0
136,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0
138,1,0,1,0,0,1,3
139,0,0,1,0,0,0,2
140,1,0,0,0,0,1,1
141,0,1,1,0,1,0,3
142,0,0,0,0,0,0,0
143,1,1,0,0,0,2,1
144,0,0,0,0,0,0,0
145,0,0,0,1,0,0,2
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,1,0,0,2
153,0,0,1,1,0,0,2
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
156,1,1,1,1,1,5,0
157,1,0,1,1,1,1,2
158,0,0,0,0,0,0,0
159,1,1,1,0,0,3,1
160,0,0,1,0,0,0,2
161,1,1,1,1,1,5,0
162,1,1,1,1,1,5,0
163,1,1,1,1,0,4,1
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,1,1,0,0,0,2
169,0,1,1,0,0,0,2
170,1,1,1,0,1,3,2
171,0,0,0,1,0,0,2
172,1,1,1,1,1,5,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,0,0,1,0,0,0,2
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0
180,0,1,1,0,1,0,3
181,0,1,1,1,0,0,2
182,1,0,0,0,0,1,1
183,0,0,0,1,0,0,2
184,0,1,0,1,1,0,3
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,1,0,0,0,2
188,0,0,0,0,0,0,0
189,1,0,1,0,0,1,3
190,1,1,1,1,1,5,0
191,0,0,0,0,0,0,0
192,0,1,1,0,0,0,2
193,0,0,0,0,0,0,0
194,1,1,1,0,0,3,1
195,0,0,0,0,0,0,0
196,1,1,1,1,1,5,0
197,0,1,0,0,0,0,2
198,1,1,1,0,1,3,2
199,0,0,1,0,0,0,2
200,0,0,0,0,0,0,0
