Row 1: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 54: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 55: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 56: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 57: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 58: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 59: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 60: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 61: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 62: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 63: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 64: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 65: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 66: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 67: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 68: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 69: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 70: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 71: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 72: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 73: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 74: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 75: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 76: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 77: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 78: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 79: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 80: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 81: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 82: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 83: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 84: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 85: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 86: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 87: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 88: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 89: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 90: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 91: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 92: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 93: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 94: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 95: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 96: ToF = 0, NoF = 2, Alignments = [0 0 0 1 0]
Row 97: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 98: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 99: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 100: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 101: ToF = 0, NoF = 0, Alignments = []
Row 102: ToF = 0, NoF = 0, Alignments = []
Row 103: ToF = 0, NoF = 0, Alignments = []
Row 104: ToF = 0, NoF = 0, Alignments = []
Row 105: ToF = 0, NoF = 0, Alignments = []
Row 106: ToF = 0, NoF = 0, Alignments = []
Row 107: ToF = 0, NoF = 0, Alignments = []
Row 108: ToF = 0, NoF = 0, Alignments = []
