QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
109,0,0,0,0,0,0,0
110,0,1,1,1,1,0,1
111,0,0,0,0,0,0,0
112,0,0,1,0,1,0,3
113,1,1,0,0,1,2,2
114,1,1,1,0,1,3,2
115,1,1,0,0,0,2,1
116,0,0,0,0,0,0,0
117,1,0,1,0,0,1,3
118,0,0,0,0,0,0,0
119,0,0,1,0,0,0,2
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,1,1,0,0,0,2,1
123,1,0,0,1,0,1,3
124,0,1,0,0,0,0,2
125,0,1,0,0,0,0,2
126,0,0,1,0,0,0,2
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,1,0,0,0,0,2
130,0,1,0,0,1,0,3
131,0,1,1,0,1,0,3
132,1,0,1,0,1,1,4
133,0,0,1,1,0,0,2
134,1,1,1,1,1,5,0
135,1,1,1,1,1,5,0
136,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0
138,1,0,1,0,0,1,3
139,1,0,1,0,0,1,3
140,1,0,0,0,0,1,1
141,0,1,1,0,1,0,3
142,0,0,0,0,0,0,0
143,1,1,0,1,1,2,2
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
151,1,0,0,0,0,1,1
152,1,0,0,1,0,1,3
153,0,0,0,1,0,0,2
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
156,1,1,1,1,1,5,0
157,1,1,1,0,1,3,2
158,0,0,0,0,0,0,0
159,1,1,1,1,0,4,1
160,0,0,0,0,0,0,0
161,1,1,1,1,1,5,0
162,0,1,1,1,1,0,1
163,1,1,1,1,0,4,1
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,1,1,1,0,0,3,1
169,0,1,0,0,1,0,3
170,1,0,1,0,1,1,4
171,1,0,1,1,1,1,2
172,1,1,1,1,1,5,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,1,0,1,0,0,1,3
177,0,0,1,0,0,0,2
178,1,0,0,0,0,1,1
179,0,0,0,0,0,0,0
180,0,1,1,1,1,0,1
181,1,1,1,1,0,4,1
182,1,0,0,0,0,1,1
183,0,0,0,1,0,0,2
184,0,1,1,1,0,0,2
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,1,0,0,0,2
188,0,0,1,0,0,0,2
189,1,1,1,0,0,3,1
190,1,1,1,1,1,5,0
191,0,0,0,0,0,0,0
192,1,1,1,1,1,5,0
193,0,1,0,0,0,0,2
194,1,1,1,0,1,3,2
195,0,0,0,0,0,0,0
196,1,1,1,1,1,5,0
197,0,1,0,0,0,0,2
198,1,1,1,1,1,5,0
199,0,0,1,0,0,0,2
200,0,0,0,0,0,0,0
