Row 1: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 46: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 47: ToF = 0, NoF = 1, Alignments = [0 0 1 1 1]
Row 48: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 49: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 50: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 51: ToF = 1, NoF = 3, Alignments = [1 0 0 1 0]
Row 52: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 53: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 54: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 55: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 56: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 57: ToF = 1, NoF = 2, Alignments = [1 0 0 0 1]
Row 58: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 59: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 60: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 61: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 62: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 63: ToF = 0, NoF = 2, Alignments = [0 1 1 1 0]
Row 64: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 65: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 66: ToF = 2, NoF = 2, Alignments = [1 1 0 1 1]
Row 67: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 68: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 69: ToF = 1, NoF = 4, Alignments = [1 0 1 0 1]
Row 70: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 71: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 72: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 73: ToF = 2, NoF = 1, Alignments = [1 1 0 0 0]
Row 74: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 75: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 76: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 77: ToF = 1, NoF = 3, Alignments = [1 0 0 1 0]
Row 78: ToF = 2, NoF = 2, Alignments = [1 1 0 0 1]
Row 79: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 80: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 81: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 82: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 83: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 84: ToF = 2, NoF = 3, Alignments = [1 1 0 1 0]
Row 85: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 86: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 87: ToF = 0, NoF = 1, Alignments = [0 1 1 1 1]
Row 88: ToF = 0, NoF = 2, Alignments = [0 0 1 1 0]
Row 89: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 90: ToF = 0, NoF = 3, Alignments = [0 0 1 0 1]
Row 91: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 92: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 93: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 94: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 95: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 96: ToF = 0, NoF = 1, Alignments = [0 0 1 1 1]
Row 97: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 98: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 99: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 100: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 101: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 102: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 103: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 104: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 105: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 106: ToF = 2, NoF = 2, Alignments = [1 1 0 1 1]
Row 107: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 108: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 109: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 110: ToF = 0, NoF = 2, Alignments = [0 1 1 1 0]
Row 111: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 112: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 113: ToF = 2, NoF = 2, Alignments = [1 1 0 0 1]
Row 114: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 115: ToF = 2, NoF = 3, Alignments = [1 1 0 1 0]
Row 116: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 117: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 118: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 119: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 120: ToF = 0, NoF = 1, Alignments = [0 0 0 0 1]
Row 121: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 122: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 123: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 124: ToF = 0, NoF = 4, Alignments = [0 1 0 1 0]
Row 125: ToF = 2, NoF = 1, Alignments = [1 1 0 0 0]
Row 126: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 127: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 128: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 129: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 130: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 131: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 132: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 133: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 134: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 135: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 136: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 137: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 138: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 139: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 140: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 141: ToF = 0, NoF = 3, Alignments = [0 1 1 0 1]
Row 142: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 143: ToF = 2, NoF = 2, Alignments = [1 1 0 0 1]
Row 144: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 145: ToF = 0, NoF = 3, Alignments = [0 0 1 0 1]
Row 146: ToF = 0, NoF = 2, Alignments = [0 0 0 1 0]
Row 147: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 148: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 149: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 150: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 151: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 152: ToF = 0, NoF = 2, Alignments = [0 0 0 1 0]
Row 153: ToF = 0, NoF = 1, Alignments = [0 0 1 1 1]
Row 154: ToF = 0, NoF = 2, Alignments = [0 0 1 1 0]
Row 155: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 156: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 157: ToF = 2, NoF = 2, Alignments = [1 1 0 0 1]
Row 158: ToF = 0, NoF = 2, Alignments = [0 0 0 1 0]
Row 159: ToF = 1, NoF = 2, Alignments = [1 0 1 1 1]
Row 160: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 161: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 162: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 163: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 164: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 165: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 166: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 167: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 168: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 169: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 170: ToF = 3, NoF = 2, Alignments = [1 1 1 0 1]
Row 171: ToF = 1, NoF = 2, Alignments = [1 0 0 1 1]
Row 172: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 173: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 174: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 175: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 176: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 177: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 178: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 179: ToF = 2, NoF = 1, Alignments = [1 1 0 0 0]
Row 180: ToF = 0, NoF = 2, Alignments = [0 1 1 0 0]
Row 181: ToF = 0, NoF = 2, Alignments = [0 1 1 1 0]
Row 182: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 183: ToF = 0, NoF = 2, Alignments = [0 0 0 1 0]
Row 184: ToF = 0, NoF = 1, Alignments = [0 1 1 1 1]
Row 185: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 186: ToF = 1, NoF = 1, Alignments = [1 0 0 0 0]
Row 187: ToF = 1, NoF = 3, Alignments = [1 0 1 0 0]
Row 188: ToF = 0, NoF = 2, Alignments = [0 0 1 0 0]
Row 189: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 190: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 191: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 192: ToF = 4, NoF = 1, Alignments = [1 1 1 1 0]
Row 193: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 194: ToF = 3, NoF = 1, Alignments = [1 1 1 0 0]
Row 195: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 196: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 197: ToF = 0, NoF = 2, Alignments = [0 1 0 0 0]
Row 198: ToF = 5, NoF = 0, Alignments = [1 1 1 1 1]
Row 199: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
Row 200: ToF = 0, NoF = 0, Alignments = [0 0 0 0 0]
