QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
72,0,0,0,0,0,0,0
73,1,1,0,0,0,2,1
74,1,0,1,0,0,1,3
75,1,1,1,0,0,3,1
76,0,1,0,0,0,0,2
77,1,0,0,1,0,1,3
78,1,1,0,0,1,2,2
79,0,0,0,0,0,0,0
80,1,1,1,1,0,4,1
81,1,1,1,1,1,5,0
82,0,0,0,0,0,0,0
83,1,0,1,0,0,1,3
84,1,1,0,1,0,2,3
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,1,1,1,1,0,1
88,0,0,1,1,0,0,2
89,1,0,1,0,0,1,3
90,0,0,1,0,1,0,3
91,0,0,0,0,0,0,0
92,0,1,1,0,1,0,3
93,1,0,0,0,0,1,1
94,1,1,1,0,1,3,2
95,0,0,0,0,0,0,0
96,0,0,1,1,1,0,1
97,1,0,1,0,0,1,3
98,1,0,0,0,0,1,1
99,1,1,1,0,1,3,2
100,1,1,1,1,1,5,0
101,1,1,1,0,0,3,1
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,1,1,0,1,1,2,2
107,1,1,1,0,1,3,2
108,1,1,1,1,0,4,1
109,0,0,0,0,0,0,0
110,0,1,1,1,0,0,2
111,0,0,0,0,0,0,0
112,0,0,1,0,0,0,2
113,1,1,0,0,1,2,2
114,0,0,1,0,0,0,2
115,1,1,0,1,0,2,3
116,0,0,0,0,0,0,0
117,1,1,1,0,1,3,2
118,0,0,0,0,0,0,0
119,0,0,1,0,0,0,2
120,0,0,0,0,1,0,1
121,0,1,0,0,0,0,2
122,1,0,0,0,0,1,1
123,1,0,0,0,0,1,1
124,0,1,0,1,0,0,4
125,1,1,0,0,0,2,1
126,0,0,1,0,0,0,2
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,1,1,1,1,1,5,0
130,0,1,0,0,0,0,2
131,0,1,1,0,1,0,3
132,1,1,1,0,1,3,2
133,0,1,0,0,0,0,2
134,1,1,1,1,1,5,0
135,1,1,1,1,1,5,0
136,0,0,0,0,0,0,0
137,0,0,1,0,0,0,2
138,1,0,1,0,0,1,3
139,1,0,1,0,0,1,3
140,1,0,0,0,0,1,1
141,0,1,1,0,1,0,3
142,1,0,0,0,0,1,1
143,1,1,0,0,1,2,2
144,1,0,0,0,0,1,1
145,0,0,1,0,1,0,3
146,0,0,0,1,0,0,2
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,1,0,0,0,0,2
151,0,1,0,0,0,0,2
152,0,0,0,1,0,0,2
153,0,0,1,1,1,0,1
154,0,0,1,1,0,0,2
155,0,0,0,0,0,0,0
156,1,1,1,1,1,5,0
157,1,1,0,0,1,2,2
158,0,0,0,1,0,0,2
159,1,0,1,1,1,1,2
160,0,0,0,0,0,0,0
161,1,1,1,1,1,5,0
162,1,1,1,1,1,5,0
163,1,1,1,0,0,3,1
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,1,0,1,0,0,1,3
169,1,1,1,0,0,3,1
170,1,1,1,0,1,3,2
171,1,0,0,1,1,1,2
172,1,1,1,1,1,5,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,1,0,1,0,0,1,3
177,0,0,0,0,0,0,0
178,1,0,0,0,0,1,1
179,1,1,0,0,0,2,1
180,0,1,1,0,0,0,2
181,0,1,1,1,0,0,2
182,1,0,0,0,0,1,1
183,0,0,0,1,0,0,2
184,0,1,1,1,1,0,1
185,0,0,0,0,0,0,0
186,1,0,0,0,0,1,1
187,1,0,1,0,0,1,3
188,0,0,1,0,0,0,2
189,1,1,1,0,0,3,1
190,1,1,1,1,1,5,0
191,0,0,0,0,0,0,0
192,1,1,1,1,0,4,1
193,0,1,0,0,0,0,2
194,1,1,1,0,0,3,1
195,0,0,0,0,0,0,0
196,1,1,1,1,1,5,0
197,0,1,0,0,0,0,2
198,1,1,1,1,1,5,0
199,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
