QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
72,0,0,0,0,0,0,0
73,1,1,0,0,0,2,1
74,1,0,0,0,0,1,1
75,1,1,1,0,1,3,2
76,0,1,1,0,0,0,2
77,1,0,0,1,0,1,3
78,1,1,0,1,1,2,2
79,0,0,0,0,0,0,0
80,1,1,1,0,0,3,1
81,1,1,1,1,1,5,0
82,1,0,0,0,0,1,1
83,1,0,0,0,0,1,1
84,1,1,0,1,0,2,3
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,1,1,1,1,1,5,0
88,0,0,1,0,0,0,2
89,1,0,1,0,1,1,4
90,0,0,0,1,1,0,1
91,0,0,0,0,0,0,0
92,0,1,1,0,1,0,3
93,0,0,0,0,0,0,0
94,1,1,0,1,1,2,2
95,1,1,0,0,0,2,1
96,1,0,1,0,0,1,3
97,1,0,0,0,0,1,1
98,1,1,0,0,1,2,2
99,1,0,1,0,1,1,4
100,1,1,1,1,1,5,0
101,1,1,1,0,0,3,1
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,1,1,0,0,1,2,2
107,0,1,1,1,1,0,1
108,1,1,1,0,0,3,1
109,0,0,0,0,0,0,0
110,0,1,1,1,1,0,1
111,0,0,1,0,0,0,2
112,0,0,1,1,0,0,2
113,1,1,1,1,1,5,0
114,1,1,1,0,1,3,2
115,1,0,0,0,0,1,1
116,0,0,0,0,0,0,0
117,1,1,1,0,1,3,2
118,1,0,0,0,0,1,1
119,0,0,1,0,0,0,2
120,0,0,1,0,0,0,2
121,1,0,1,0,0,1,3
122,1,1,1,0,0,3,1
123,1,0,0,0,1,1,2
124,0,1,1,1,0,0,2
125,0,0,1,0,0,0,2
126,0,0,0,1,0,0,2
127,1,0,0,0,0,1,1
128,0,0,0,0,0,0,0
129,1,1,1,1,1,5,0
130,1,1,0,0,0,2,1
131,0,1,1,0,1,0,3
132,1,1,1,1,1,5,0
133,0,1,0,0,0,0,2
134,1,1,1,1,1,5,0
135,1,1,1,1,1,5,0
136,0,0,0,0,0,0,0
137,1,0,0,0,0,1,1
138,1,0,1,0,0,1,3
139,1,0,0,0,0,1,1
140,1,0,0,0,0,1,1
141,0,1,1,0,1,0,3
142,0,1,0,1,0,0,4
143,1,1,1,0,1,3,2
144,0,0,0,0,0,0,0
145,0,0,1,1,1,0,1
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,1,0,0,0,0,1,1
150,1,1,0,0,0,2,1
151,0,0,0,0,0,0,0
152,1,0,0,1,0,1,3
153,0,0,1,1,0,0,2
154,1,0,0,0,0,1,1
155,0,0,0,0,0,0,0
156,1,1,1,1,1,5,0
157,1,1,0,0,1,2,2
158,0,0,0,0,0,0,0
159,1,0,1,1,0,1,3
160,0,0,0,0,0,0,0
161,1,1,1,1,1,5,0
162,1,1,1,1,1,5,0
163,1,1,1,1,0,4,1
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,1,0,0,2
168,1,0,1,0,1,1,4
169,1,1,1,0,0,3,1
170,1,1,1,0,1,3,2
171,0,0,1,0,1,0,3
172,1,1,1,1,1,5,0
173,0,1,0,0,0,0,2
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,1,0,1,0,0,1,3
177,0,0,1,0,0,0,2
178,1,0,0,0,0,1,1
179,1,0,0,0,0,1,1
180,0,0,1,0,1,0,3
181,0,1,1,1,1,0,1
182,1,0,0,0,0,1,1
183,1,0,0,1,0,1,3
184,0,1,1,1,1,0,1
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,1,0,1,0,0,1,3
188,1,0,1,0,0,1,3
189,1,0,1,0,0,1,3
190,1,1,1,1,1,5,0
191,0,0,0,0,0,0,0
192,1,1,0,1,0,2,3
193,0,0,0,0,0,0,0
194,1,1,1,0,1,3,2
195,0,0,0,0,0,0,0
196,1,1,1,1,1,5,0
197,0,1,0,0,0,0,2
198,1,1,1,0,0,3,1
199,0,0,1,0,0,0,2
200,0,0,0,0,0,0,0
